GVKEY,DATE,YEAR,MLVALT
2285,31/12/2015,2015,96387.1642
2285,31/12/2016,2016,96078.2234
2285,31/12/2017,2017,174303.3115
2285,31/12/2018,2018,183064.2225
2312,31/12/2006,2006,6230.5178
2312,31/12/2007,2007,4273.8883
2312,31/12/2008,2008,3142.6333
2312,31/12/2009,2009,3973.2809
2312,31/12/2010,2010,4473.1998
2312,31/12/2011,2011,4043.7676
2312,31/12/2012,2012,4436.949
2312,31/12/2013,2013,5772.1973
2312,31/12/2014,2014,7889.1229
2312,31/12/2015,2015,6182.6938
2312,31/12/2016,2016,6233.9377
2312,31/12/2017,2017,6901.4559
2312,31/12/2018,2018,6811.2616
2403,31/12/2006,2006,51771.44
2403,31/12/2007,2007,52483.08
2403,31/12/2008,2008,46011.75
2403,31/12/2009,2009,43278.5
2403,31/12/2010,2010,45121.92
2403,31/12/2011,2011,59555.6
2403,31/12/2012,2012,53382.42
2403,31/12/2013,2013,87644.35
2403,31/12/2014,2014,98048.83
2403,31/12/2015,2015,114810.51
2403,31/12/2016,2016,97711.68
2403,31/12/2017,2017,100070.24
2403,31/12/2018,2018,84831.36
2435,30/04/2007,2006,8031.5217
2435,30/04/2007,2006,8031.5217
2435,30/04/2008,2007,8328.8256
2435,30/04/2008,2007,8328.8256
2435,30/04/2009,2008,7105.4035
2435,30/04/2009,2008,7105.4035
2435,30/04/2010,2009,8655.0192
2435,30/04/2010,2009,8655.0192
2435,30/04/2011,2010,10317.7372
2435,30/04/2011,2010,10317.7372
2435,30/04/2012,2011,12169.0881
2435,30/04/2012,2011,12169.0881
2435,30/04/2013,2012,15075.6326
2435,30/04/2013,2012,15075.6326
2435,30/04/2014,2013,19101.35
2435,30/04/2014,2013,19101.35
2435,30/04/2015,2014,19008.3733
2435,30/04/2015,2014,19008.3733
2435,30/04/2016,2015,19671.1861
2435,30/04/2016,2015,19671.1861
2435,30/04/2017,2016,18300.0473
2435,30/04/2017,2016,18300.0473
2435,30/04/2018,2017,26503.9005
2435,30/04/2018,2017,26503.9005
2435,30/04/2019,2018,25261.1869
2435,30/04/2019,2018,25261.1869
2547,31/12/2006,2006,12979.9068
2547,31/12/2007,2007,15022.2632
2547,31/12/2008,2008,4566.9566
2547,31/12/2009,2009,9673.0444
2547,31/12/2010,2010,9967.1208
2547,31/12/2011,2011,11992.386
2547,31/12/2012,2012,15280.4183
2547,31/12/2013,2013,24103.0145
2547,31/12/2014,2014,26682.0932
2547,31/12/2015,2015,37540.0835
2547,31/12/2016,2016,34263.7559
2547,31/12/2017,2017,49547.258
2547,31/12/2018,2018,
2574,31/12/2006,2006,15072.2145
2574,31/12/2007,2007,17937.8587
2574,31/12/2008,2008,12680.3792
2574,31/12/2009,2009,19078.8754
2574,31/12/2010,2010,23927.7966
2574,31/12/2011,2011,22095.2464
2574,31/12/2012,2012,20134.1691
2574,31/12/2013,2013,29024.9022
2574,31/12/2014,2014,35925.3419
2574,31/12/2015,2015,25055.0883
2574,31/12/2016,2016,33349.5074
2574,31/12/2017,2017,48950.7035
2574,31/12/2018,2018,50833.5234
2663,31/07/2006,2006,14745.36
2663,31/07/2007,2007,13958.57
2663,31/07/2008,2008,12951.28
2663,31/07/2009,2009,10643.29
2663,31/07/2010,2010,12062.4
2663,31/07/2011,2011,10576
2663,31/07/2012,2012,10330.32
2663,31/07/2013,2013,14601.6
2663,31/07/2014,2014,13017.67
2663,31/07/2015,2015,15286.1
2663,31/07/2016,2016,19179.16
2663,31/07/2017,2017,15901.83
2663,31/07/2018,2018,12310.9
2710,28/02/2007,2006,5509.7885
2710,28/02/2007,2006,5509.7885
2710,29/02/2008,2007,4150.1404
2710,29/02/2008,2007,4150.1404
2710,28/02/2009,2008,2862.4409
2710,28/02/2009,2008,2862.4409
2710,28/02/2010,2009,3335.6383
2710,28/02/2010,2009,3335.6383
2710,28/02/2011,2010,4287.2904
2710,28/02/2011,2010,4287.2904
2710,29/02/2012,2011,4244.2893
2710,29/02/2012,2011,4244.2893
2710,28/02/2013,2012,8178.2962
2710,28/02/2013,2012,8178.2962
2710,28/02/2014,2013,15528.1698
2710,28/02/2014,2013,15528.1698
2710,28/02/2015,2014,22338.3214
2710,28/02/2015,2014,22338.3214
2710,29/02/2016,2015,28241.6642
2710,29/02/2016,2015,28241.6642
2710,28/02/2017,2016,30884.3144
2710,28/02/2017,2016,30884.3144
2710,28/02/2018,2017,41305.4562
2710,28/02/2018,2017,41305.4562
2710,28/02/2019,2018,32211.5627
2710,28/02/2019,2018,32211.5627
2751,30/06/2006,2006,26426.764
2751,30/06/2007,2007,26002.584
2751,30/06/2008,2008,18419.218
2751,30/06/2009,2009,10998
2751,30/06/2010,2010,11978.604
2751,30/06/2011,2011,15946.962
2751,30/06/2012,2012,14406
2751,30/06/2013,2013,16000.8
2751,30/06/2014,2014,23104.72
2751,30/06/2015,2015,27437.2
2751,30/06/2016,2016,25119.22
2751,30/06/2017,2017,24622.72
2751,30/06/2018,2018,15088.47
2817,31/12/2006,2006,39607.4046
2817,31/12/2007,2007,45276.4967
2817,31/12/2008,2008,26870.2111
2817,31/12/2009,2009,35602.9638
2817,31/12/2010,2010,59832.1622
2817,31/12/2011,2011,58666.4898
2817,31/12/2012,2012,58697.9583
2817,31/12/2013,2013,57920.6158
2817,31/12/2014,2014,55482.4655
2817,31/12/2015,2015,39574.6031
2817,31/12/2016,2016,54390.7116
2817,31/12/2017,2017,94173.9051
2817,31/12/2018,2018,73134.249
2968,31/12/2006,2006,167199.3372
2968,31/12/2007,2007,146986.268
2968,31/12/2008,2008,117695.2155
2968,31/12/2009,2009,164261.4315
2968,31/12/2010,2010,165874.6715
2968,31/12/2011,2011,125441.9758
2968,31/12/2012,2012,167256.3459
2968,31/12/2013,2013,219657.1958
2968,31/12/2014,2014,232471.4956
2968,31/12/2015,2015,241899.2543
2968,31/12/2016,2016,307295.0851
2968,31/12/2017,2017,366301.582
2968,31/12/2018,2018,319780.2769
2991,31/12/2006,2006,159159.9497
2991,31/12/2007,2007,195100.2052
2991,31/12/2008,2008,148253.041
2991,31/12/2009,2009,154574.5168
2991,31/12/2010,2010,183182.6413
2991,31/12/2011,2011,210796.1688
2991,31/12/2012,2012,210515.9217
2991,31/12/2013,2013,239028.1507
2991,31/12/2014,2014,210859.0248
2991,31/12/2015,2015,169377.9474
2991,31/12/2016,2016,222630.3739
2991,31/12/2017,2017,238449.6434
2991,31/12/2018,2018,207009.746
3062,31/05/2007,2006,6086.8497
3062,31/05/2008,2007,4536.9583
3062,31/05/2009,2008,3558.4791
3062,31/05/2010,2009,3974.62
3062,31/05/2011,2010,4519.6344
3062,31/05/2012,2011,4668.588
3062,31/05/2013,2012,5582.7847
3062,31/05/2014,2013,7270.4006
3062,31/05/2015,2014,9616.5113
3062,31/05/2016,2015,9879.3924
3062,31/05/2017,2016,13267.8779
3062,31/05/2018,2017,19377.9135
3062,31/05/2019,2018,22911.4897
3107,31/12/2006,2006,1981.4382
3107,31/12/2007,2007,4393.2672
3107,31/12/2008,2008,2906.9655
3107,31/12/2009,2009,6036.4534
3107,31/12/2010,2010,10567.0006
3107,31/12/2011,2011,8855.0717
3107,31/12/2012,2012,5496.0707
3107,31/12/2013,2013,4013.4325
3107,31/12/2014,2014,1094.1836
3107,31/12/2015,2015,242.6754
3107,31/12/2016,2016,1960.1523
3107,31/12/2017,2017,2144.2612
3107,31/12/2018,2018,2250.1863
3121,30/06/2006,2006,9224.6391
3121,30/06/2007,2007,9392.9976
3121,30/06/2008,2008,7205.5836
3121,30/06/2009,2009,7769.1911
3121,30/06/2010,2010,8625.6324
3121,30/06/2011,2011,8839.1585
3121,30/06/2012,2012,9388.0625
3121,30/06/2013,2013,10838.7124
3121,30/06/2014,2014,11771.9544
3121,30/06/2015,2015,13378.4283
3121,30/06/2016,2016,17901.4385
3121,30/06/2017,2017,17189.8254
3121,30/06/2018,2018,17309.7008
3144,31/12/2006,2006,111843.5
3144,31/12/2007,2007,142255.66
3144,31/12/2008,2008,104664.24
3144,31/12/2009,2009,131271
3144,31/12/2010,2010,150744.84
3144,31/12/2011,2011,158342.11
3144,31/12/2012,2012,162001.25
3144,31/12/2013,2013,181846.62
3144,31/12/2014,2014,184332.52
3144,31/12/2015,2015,185759.04
3144,31/12/2016,2016,177780.48
3144,31/12/2017,2017,195402.92
3144,31/12/2018,2018,202089.8
3170,31/12/2006,2006,33445.8732
3170,31/12/2007,2007,39684.3686
3170,31/12/2008,2008,34366.847
3170,31/12/2009,2009,40595.6548
3170,31/12/2010,2010,39771.0945
3170,31/12/2011,2011,44348.863
3170,31/12/2012,2012,48910.5026
3170,31/12/2013,2013,59989.7439
3170,31/12/2014,2014,62735.4033
3170,31/12/2015,2015,59474.2056
3170,31/12/2016,2016,57790.653
3170,31/12/2017,2017,65996.1905
3170,31/12/2018,2018,51360.5818
3221,31/12/2006,2006,10587.864
3221,31/12/2007,2007,
3221,31/12/2008,2008,12429.528
3221,31/12/2009,2009,
3221,31/12/2010,2010,
3221,31/12/2011,2011,
3221,31/12/2012,2012,
3221,31/12/2013,2013,
3221,31/12/2014,2014,
3221,31/12/2015,2015,24878.258
3221,31/12/2016,2016,29220.86
3221,31/12/2017,2017,33178.4
3221,31/12/2018,2018,
3226,31/12/2006,2006,87851.4032
3226,31/12/2006,2006,87851.4032
3226,31/12/2007,2007,54848.7755
3226,31/12/2007,2007,54848.7755
3226,31/12/2008,2008,48033.7154
3226,31/12/2008,2008,48033.7154
3226,31/12/2009,2009,47191.1832
3226,31/12/2009,2009,47191.1832
3226,31/12/2010,2010,60193.2116
3226,31/12/2010,2010,60193.2116
3226,31/12/2011,2011,64067.5432
3226,31/12/2011,2011,64067.5432
3226,31/12/2012,2012,97880.2338
3226,31/12/2012,2012,97880.2338
3226,31/12/2013,2013,134492.2412
3226,31/12/2013,2013,134492.2412
3226,31/12/2014,2014,147229.0808
3226,31/12/2014,2014,147229.0808
3226,31/12/2015,2015,137824.5191
3226,31/12/2015,2015,137824.5191
3226,31/12/2016,2016,164049.0591
3226,31/12/2017,2017,186012.5454
3226,31/12/2018,2018,154109.0061
3231,31/12/2006,2006,9246.4423
3231,31/12/2007,2007,6528.9776
3231,31/12/2008,2008,2987.2265
3231,31/12/2009,2009,4470.363
3231,31/12/2010,2010,7456.8384
3231,31/12/2011,2011,5091.2172
3231,31/12/2012,2012,5712.2635
3231,31/12/2013,2013,8666.7322
3231,31/12/2014,2014,8385.25
3231,31/12/2015,2015,7349.8656
3231,31/12/2016,2016,11940.6365
3231,31/12/2017,2017,15005.803
3231,31/12/2018,2018,10996.17
3243,31/12/2006,2006,
3243,31/12/2007,2007,
3243,31/12/2008,2008,
3243,31/12/2009,2009,
3243,31/12/2010,2010,
3243,31/12/2011,2011,
3243,31/12/2012,2012,
3243,31/12/2013,2013,157853.8527
3243,31/12/2014,2014,
3243,31/12/2015,2015,
3243,31/12/2016,2016,164763.2566
3243,31/12/2017,2017,191226.9287
3243,31/12/2018,2018,
3310,31/03/2007,2006,13607.3361
3310,31/03/2008,2007,11470.1175
3310,31/03/2009,2008,9056.6997
3310,31/03/2010,2009,11957.2609
3310,31/03/2011,2010,12145.614
3310,31/03/2012,2011,12848.0035
3310,31/03/2013,2012,11284.3918
3310,31/03/2014,2013,13592.1652
3310,31/03/2015,2014,14201.7528
3310,31/03/2016,2015,12703.8308
3310,31/03/2017,2016,13113.3335
3310,31/03/2018,2017,13968.7323
3362,31/05/2007,2006,12489.3645
3362,31/05/2008,2007,11421.4918
3362,31/05/2009,2008,8210.4036
3362,31/05/2010,2009,10694.0886
3362,31/05/2011,2010,10438.8624
3362,31/05/2012,2011,10251.4418
3362,31/05/2013,2012,14131.7759
3362,31/05/2014,2013,13627.8545
3362,31/05/2015,2014,16532.9951
3362,31/05/2016,2015,20019.5705
3362,31/05/2017,2016,16052.6808
3362,31/05/2018,2017,14484.1227
